Tanggal,Kode_Transaksi,Pelanggan,sub_total,lokasi_apotek
8/14/2023,TRX022167,"Naradi Kurniawan, S.I.Kom",154023,Bandung
11/15/2023,TRX022168,Ir. Banawa Mulyani,613381,Surabaya
6/29/2024,TRX022169,Gasti Saragih,1149800,Jakarta
8/8/2024,TRX022170,Guest,97756,Bandung
4/4/2023,TRX022171,Guest,728378,Semarang
7/14/2024,TRX022172,Dr. Fathonah Suryatmi,380257,Semarang
2/12/2023,TRX022173,"Dr. Laras Purwanti, S.Psi",523557,Bandung
2/26/2023,TRX022174,Guest,1434506,Bandung
7/20/2023,TRX022175,Martani Najmudin,323088,Jakarta
6/29/2024,TRX022176,Guest,792640,Semarang
3/8/2023,TRX022177,Guest,734768,Bandung
9/22/2023,TRX022178,"Amalia Winarno, M.Pd",898288,Surabaya
1/30/2024,TRX022179,Guest,326822,Yogyakarta
7/13/2023,TRX022180,Guest,264720,Jakarta
9/23/2023,TRX022181,Guest,291387,Semarang
5/11/2023,TRX022182,Drs. Budi Pertiwi,1277560,Surabaya
12/21/2024,TRX022183,Darimin Pratama,234738,Bandung
9/13/2024,TRX022184,Guest,506536,Surabaya
6/27/2023,TRX022185,Bakiman Rahimah,283656,Surabaya
11/16/2023,TRX022186,R.M. Hartaka Uwais,1179745,Surabaya
6/10/2023,TRX022187,Guest,132824,Bandung
4/16/2023,TRX022188,H. Irnanto Hidayat,57000,Semarang
12/6/2024,TRX022189,Guest,788503,Yogyakarta
9/14/2024,TRX022190,Guest,283784,Jakarta
1/14/2024,TRX022191,Dr. Jono Agustina,472810,Surabaya
8/11/2024,TRX022192,"Dr. Laila Tamba, S.E.I",309285,Bandung
4/19/2024,TRX022193,Guest,490230,Bandung
9/5/2023,TRX022194,Drs. Dartono Habibi,795808,Semarang
2/23/2023,TRX022195,Guest,266268,Semarang
8/24/2024,TRX022196,Anita Sihotang,819762,Semarang
4/15/2023,TRX022197,"Hj. Unjani Sinaga, S.Pd",512721,Surabaya
6/27/2023,TRX022198,Guest,380600,Bandung
3/6/2023,TRX022199,Mahfud Novitasari,215867,Yogyakarta
6/11/2024,TRX022200,Ella Yulianti,1134400,Semarang
11/18/2023,TRX022201,Febi Wacana,113866,Jakarta
6/8/2023,TRX022202,Guest,819265,Jakarta
4/28/2024,TRX022203,Bambang Sudiati,1488649,Semarang
7/17/2023,TRX022204,"drg. Marsudi Utama, M.Farm",280260,Jakarta
10/30/2023,TRX022205,Rahmi Maryadi,1295760,Jakarta
4/3/2023,TRX022206,Guest,475185,Surabaya
3/31/2023,TRX022207,Guest,17761,Semarang
10/30/2023,TRX022208,Guest,384112,Surabaya
2/16/2024,TRX022209,"Wasis Rajasa, S.Farm",604542,Jakarta
4/1/2023,TRX022210,Guest,1329172,Yogyakarta
7/21/2023,TRX022211,Guest,561283,Surabaya
9/13/2023,TRX022212,"Zaenab Wijayanti, S.T.",317800,Semarang
3/27/2023,TRX022213,"Ganda Wahyuni, S.Sos",58208,Semarang
12/7/2023,TRX022214,Guest,772007,Yogyakarta
10/18/2024,TRX022215,Bakijan Nurdiyanti,384459,Semarang
12/31/2023,TRX022216,Prayitna Pudjiastuti,1436903,Semarang
1/7/2024,TRX022217,Guest,338967,Jakarta
7/20/2023,TRX022218,Umi Sihombing,362185,Jakarta
2/25/2023,TRX022219,Guest,79443,Surabaya
3/6/2023,TRX022220,"Titi Mardhiyah, M.Ak",753407,Semarang
11/25/2023,TRX022221,Guest,589094,Bandung
8/17/2023,TRX022222,R.A. Umi Pudjiastuti,719342,Surabaya
2/9/2023,TRX022223,Guest,207028,Bandung
7/14/2023,TRX022224,Guest,22246,Surabaya
3/2/2023,TRX022225,Guest,600536,Bandung
11/11/2023,TRX022226,Humaira Lazuardi,73198,Bandung
10/31/2023,TRX022227,Cawisono Wibowo,62938,Jakarta
1/11/2023,TRX022228,Guest,199762,Semarang
4/5/2024,TRX022229,Guest,220970,Yogyakarta
3/27/2024,TRX022230,Cinta Kuswandari,628038,Surabaya
6/29/2024,TRX022231,Mila Najmudin,775629,Surabaya
4/1/2023,TRX022232,"Kamila Kurniawan, M.M.",432881,Bandung
11/18/2024,TRX022233,Guest,548436,Yogyakarta
12/30/2024,TRX022234,Uchita Aryani,495862,Semarang
4/13/2023,TRX022235,Guest,638267,Semarang
2/18/2023,TRX022236,Guest,934845,Jakarta
9/23/2024,TRX022237,"Tiara Marpaung, S.Pt",957534,Semarang
2/22/2024,TRX022238,Guest,302199,Bandung
1/5/2024,TRX022239,Jane Tamba,746983,Yogyakarta
9/20/2024,TRX022240,Guest,57448,Bandung
7/16/2024,TRX022241,Rendy Dongoran,1308143,Surabaya
11/7/2023,TRX022242,Guest,313737,Semarang
11/10/2024,TRX022243,"Sutan Xanana Puspita, S.Sos",180453,Yogyakarta
11/17/2023,TRX022244,Patricia Namaga,1099593,Surabaya
11/24/2023,TRX022245,Guest,95505,Bandung
4/12/2024,TRX022246,Harja Puspasari,617581,Jakarta
2/21/2024,TRX022247,Guest,344076,Yogyakarta
12/25/2024,TRX022248,Guest,882186,Surabaya
3/18/2024,TRX022249,Yuni Marbun,1263782,Bandung
9/1/2023,TRX022250,Guest,418166,Bandung
11/9/2023,TRX022251,Guest,603358,Semarang
11/30/2023,TRX022252,Guest,335527,Yogyakarta
11/7/2023,TRX022253,Guest,87284,Yogyakarta
5/3/2023,TRX022254,Guest,323297,Yogyakarta
7/25/2024,TRX022255,Guest,467336,Jakarta
7/8/2023,TRX022256,Guest,1153325,Semarang
9/3/2024,TRX022257,"Hj. Sakura Mustofa, M.Ak",561932,Bandung
8/28/2024,TRX022258,"Faizah Suryono, S.Kom",294554,Surabaya
4/11/2023,TRX022259,"Balangga Saptono, S.H.",103108,Surabaya
5/25/2023,TRX022260,"Drs. Legawa Wulandari, S.Sos",556699,Yogyakarta
2/21/2024,TRX022261,Betania Maulana,1035678,Semarang
9/20/2024,TRX022262,Titin Iswahyudi,212307,Bandung
9/4/2024,TRX022263,Guest,1515300,Jakarta
10/1/2023,TRX022264,drg. Shania Purnawati,380942,Jakarta
12/16/2023,TRX022265,Bagiya Tamba,280674,Jakarta
6/6/2023,TRX022266,Ifa Zulaika,265980,Semarang
2/26/2023,TRX022267,Prayoga Sihombing,382133,Surabaya
3/2/2024,TRX022268,Guest,480270,Yogyakarta
11/11/2023,TRX022269,Guest,261642,Jakarta
12/1/2024,TRX022270,"Galar Winarsih, S.IP",819416,Bandung
3/26/2023,TRX022271,Kartika Uwais,366197,Jakarta
9/24/2024,TRX022272,"KH. Cawisono Hakim, S.Pt",1167837,Surabaya
4/16/2023,TRX022273,Guest,208004,Surabaya
1/24/2023,TRX022274,Rahman Anggraini,1112682,Bandung
3/5/2024,TRX022275,Ibrahim Maheswara,761242,Surabaya
4/18/2023,TRX022276,"Bakiono Lestari, S.Sos",1193474,Yogyakarta
12/12/2024,TRX022277,Guest,228328,Surabaya
1/27/2024,TRX022278,Guest,220136,Yogyakarta
10/18/2024,TRX022279,Guest,745730,Yogyakarta
1/25/2024,TRX022280,Farah Megantara,681046,Jakarta
12/7/2024,TRX022281,Guest,507166,Yogyakarta
9/22/2024,TRX022282,Lega Pratiwi,1124829,Semarang
4/6/2023,TRX022283,R.A. Paramita Permata,28673,Jakarta
1/18/2023,TRX022284,Hardi Zulkarnain,859459,Bandung
3/2/2023,TRX022285,Guest,418280,Semarang
12/20/2024,TRX022286,Harto Yolanda,1665668,Surabaya
6/23/2024,TRX022287,Guest,913369,Semarang
10/13/2024,TRX022288,Guest,1495137,Yogyakarta
5/16/2023,TRX022289,Kamaria Hasanah,77079,Jakarta
6/13/2023,TRX022290,Guest,143130,Surabaya
11/11/2024,TRX022291,R.A. Tami Kusumo,197676,Bandung
9/14/2023,TRX022292,Daniswara Halim,577461,Yogyakarta
5/18/2023,TRX022293,Tomi Nasyiah,253063,Semarang
5/7/2023,TRX022294,Guest,707957,Bandung
2/19/2024,TRX022295,Guest,760970,Yogyakarta
7/2/2024,TRX022296,Guest,524579,Surabaya
5/25/2023,TRX022297,Guest,476637,Semarang
3/3/2024,TRX022298,"Cawuk Wijayanti, S.Ked",1795093,Semarang
5/30/2024,TRX022299,Guest,1188534,Surabaya
5/9/2023,TRX022300,Laras Puspita,340126,Yogyakarta
6/5/2023,TRX022301,Guest,417085,Bandung
12/4/2024,TRX022302,Guest,600562,Surabaya
3/27/2023,TRX022303,"Puti Zelaya Hutapea, M.Farm",364848,Bandung
10/10/2024,TRX022304,"Tasnim Gunarto, S.Pt",529070,Semarang
5/26/2024,TRX022305,Guest,299514,Yogyakarta
12/31/2023,TRX022306,Guest,328766,Bandung
10/15/2024,TRX022307,Guest,433270,Bandung
2/16/2024,TRX022308,"Puti Olivia Rahimah, S.Gz",383622,Jakarta
6/24/2023,TRX022309,Guest,827380,Bandung
10/27/2024,TRX022310,Guest,894043,Surabaya
1/26/2024,TRX022311,Guest,550644,Semarang
9/25/2024,TRX022312,Guest,748691,Semarang
8/5/2024,TRX022313,"Ellis Hasanah, S.Pt",364904,Semarang
1/26/2024,TRX022314,Guest,11072,Semarang
5/30/2023,TRX022315,Guest,549340,Semarang
2/1/2023,TRX022316,"dr. Galih Hakim, S.E.I",321731,Yogyakarta
6/25/2024,TRX022317,Guest,762048,Yogyakarta
7/18/2023,TRX022318,Tirta Mulyani,1382946,Bandung
10/8/2024,TRX022319,R.A. Rina Samosir,791349,Semarang
10/5/2023,TRX022320,Guest,630071,Surabaya
5/23/2024,TRX022321,Michelle Nababan,979727,Bandung
8/9/2024,TRX022322,Cawisono Sihombing,139569,Surabaya
12/26/2024,TRX022323,Guest,772491,Surabaya
3/30/2023,TRX022324,Guest,155408,Yogyakarta
1/4/2023,TRX022325,"Prabowo Utama, S.E.I",254018,Yogyakarta
1/12/2023,TRX022326,Dinda Hardiansyah,264108,Surabaya
12/20/2023,TRX022327,"T. Heru Farida, M.Kom.",424638,Bandung
8/5/2024,TRX022328,Guest,1100286,Yogyakarta
8/24/2023,TRX022329,Guest,336769,Jakarta
5/23/2023,TRX022330,Guest,563039,Surabaya
11/8/2024,TRX022331,Guest,983280,Jakarta
10/11/2024,TRX022332,KH. Hari Sudiati,199000,Bandung
10/10/2024,TRX022333,Wadi Hariyah,463458,Semarang
10/10/2024,TRX022334,"Rachel Rajata, M.M.",703470,Bandung
12/27/2023,TRX022335,Sadina Mayasari,854643,Semarang
5/19/2024,TRX022336,Guest,97535,Surabaya
5/13/2023,TRX022337,Guest,100086,Yogyakarta
5/16/2023,TRX022338,Agnes Saptono,1590783,Yogyakarta
7/18/2024,TRX022339,Guest,810194,Jakarta
10/4/2024,TRX022340,Janet Simanjuntak,137287,Bandung
4/11/2024,TRX022341,Jabal Wahyuni,473646,Bandung
2/20/2023,TRX022342,Guest,131586,Semarang
12/21/2024,TRX022343,"T. Luwes Mangunsong, S.H.",1478985,Surabaya
7/26/2023,TRX022344,Guest,1073733,Surabaya
6/11/2023,TRX022345,Guest,798370,Yogyakarta
5/30/2023,TRX022346,Guest,1028494,Jakarta
2/1/2023,TRX022347,"Sutan Harjo Samosir, S.Pd",231994,Jakarta
2/17/2023,TRX022348,R. Maryanto Lestari,258488,Jakarta
10/22/2024,TRX022349,Dt. Yahya Sihotang,748542,Semarang
11/7/2024,TRX022350,Guest,1095699,Surabaya
4/19/2024,TRX022351,Guest,1354230,Yogyakarta
10/1/2023,TRX022352,Guest,725237,Bandung
7/26/2024,TRX022353,Karna Nasyiah,360615,Jakarta
12/14/2023,TRX022354,Guest,890576,Bandung
9/22/2024,TRX022355,Galiono Anggriawan,454254,Jakarta
5/20/2024,TRX022356,Vera Fujiati,259724,Jakarta
5/12/2023,TRX022357,Cinthia Mahendra,641260,Semarang
9/18/2023,TRX022358,Guest,1069087,Bandung
7/15/2023,TRX022359,Rahmi Haryanto,666127,Yogyakarta
7/23/2024,TRX022360,Cut Suci Oktaviani,193829,Jakarta
4/19/2024,TRX022361,Guest,281845,Yogyakarta
5/6/2023,TRX022362,"dr. Kania Mulyani, S.Pt",799814,Bandung
5/29/2023,TRX022363,Chelsea Habibi,196451,Jakarta
9/16/2024,TRX022364,Guest,1027774,Semarang
12/25/2023,TRX022365,Guest,48210,Surabaya
4/1/2023,TRX022366,Guest,902339,Jakarta
10/30/2023,TRX022367,Guest,501981,Yogyakarta
12/9/2023,TRX022368,Gandewa Sinaga,574694,Surabaya
7/10/2023,TRX022369,Dr. Harsaya Mandasari,946486,Surabaya
2/15/2023,TRX022370,Rahmi Melani,540838,Yogyakarta
12/6/2023,TRX022371,Guest,651056,Jakarta
11/24/2024,TRX022372,Guest,632755,Bandung
6/8/2024,TRX022373,Jaswadi Waskita,1087324,Bandung
10/19/2024,TRX022374,Guest,787603,Surabaya
1/24/2023,TRX022375,Guest,414948,Surabaya
12/24/2024,TRX022376,Guest,761706,Yogyakarta
5/31/2023,TRX022377,Balamantri Winarsih,446993,Semarang
10/8/2024,TRX022378,Guest,694292,Surabaya
6/12/2024,TRX022379,Maria Pranowo,133932,Surabaya
2/14/2024,TRX022380,Guest,907435,Semarang
1/17/2023,TRX022381,Yani Hastuti,1193969,Surabaya
1/25/2024,TRX022382,Citra Tarihoran,593107,Bandung
2/14/2023,TRX022383,Guest,959749,Yogyakarta
10/22/2023,TRX022384,drg. Zamira Narpati,1188741,Yogyakarta
7/19/2024,TRX022385,Kasiyah Natsir,716289,Bandung
1/30/2023,TRX022386,Jaya Gunarto,187646,Yogyakarta
6/27/2023,TRX022387,Iriana Waskita,1060707,Surabaya
7/6/2023,TRX022388,Guest,300620,Yogyakarta
9/26/2023,TRX022389,"Asmianto Latupono, S.I.Kom",721982,Surabaya
1/14/2023,TRX022390,Guest,434302,Yogyakarta
3/4/2024,TRX022391,Dono Sudiati,311465,Semarang
1/3/2024,TRX022392,Ir. Rini Mulyani,903134,Bandung
11/4/2023,TRX022393,Yosef Hutasoit,297066,Bandung
5/3/2024,TRX022394,"Hana Namaga, S.Kom",764704,Yogyakarta
9/27/2023,TRX022395,"Indah Permata, S.Gz",103908,Jakarta
4/6/2024,TRX022396,Guest,623383,Bandung
2/13/2024,TRX022397,Guest,70095,Jakarta
12/10/2024,TRX022398,Guest,431304,Surabaya
9/13/2024,TRX022399,Vicky Pratama,269016,Bandung
12/16/2023,TRX022400,Guest,418522,Surabaya
2/12/2023,TRX022401,Laras Melani,872527,Yogyakarta
8/16/2024,TRX022402,Humaira Suartini,841503,Surabaya
1/24/2023,TRX022403,"Dr. Kayun Habibi, S.Gz",325774,Jakarta
9/21/2023,TRX022404,"Wakiman Narpati, S.Sos",397695,Jakarta
3/27/2023,TRX022405,Guest,1593244,Surabaya
10/11/2024,TRX022406,Guest,152978,Surabaya
5/29/2024,TRX022407,"Purwadi Oktaviani, S.Pt",2326209,Semarang
8/21/2024,TRX022408,Guest,728193,Surabaya
6/1/2024,TRX022409,Guest,552971,Jakarta
12/5/2023,TRX022410,Guest,409446,Jakarta
3/22/2024,TRX022411,Guest,488170,Yogyakarta
2/6/2024,TRX022412,Guest,194042,Surabaya
12/5/2024,TRX022413,"dr. Winda Lazuardi, S.I.Kom",522797,Surabaya
9/23/2023,TRX022414,Ivan Prasasta,1124045,Semarang
7/29/2023,TRX022415,Guest,681120,Surabaya
2/6/2023,TRX022416,"Ella Firgantoro, S.Gz",235986,Jakarta
4/7/2023,TRX022417,Rusman Prabowo,1010590,Yogyakarta
2/3/2024,TRX022418,Wirda Riyanti,1276555,Semarang
12/4/2023,TRX022419,Guest,984801,Bandung
10/4/2024,TRX022420,Guest,465752,Yogyakarta
12/29/2023,TRX022421,Guest,594709,Jakarta
3/17/2024,TRX022422,Guest,892520,Semarang
5/18/2023,TRX022423,"Kezia Aryani, M.Ak",405815,Surabaya
8/14/2023,TRX022424,Guest,531444,Jakarta
6/11/2024,TRX022425,Hj. Citra Andriani,262797,Jakarta
7/26/2024,TRX022426,Guest,1397886,Semarang
5/18/2024,TRX022427,Guest,1399773,Surabaya
6/27/2024,TRX022428,Guest,867884,Yogyakarta
6/4/2024,TRX022429,Guest,1206191,Jakarta
6/6/2024,TRX022430,Guest,740973,Bandung
3/29/2024,TRX022431,"R.A. Pia Tampubolon, S.Pd",221542,Semarang
1/26/2024,TRX022432,Diana Mandasari,176425,Surabaya
12/22/2023,TRX022433,Guest,805834,Bandung
3/11/2024,TRX022434,Guest,249313,Bandung
12/14/2024,TRX022435,"Nasab Kusumo, M.TI.",787227,Yogyakarta
9/20/2024,TRX022436,Guest,219907,Bandung
9/30/2024,TRX022437,Guest,562404,Yogyakarta
9/1/2023,TRX022438,Guest,406954,Jakarta
3/17/2023,TRX022439,Pandu Pangestu,1271583,Bandung
7/30/2023,TRX022440,Guest,563347,Yogyakarta
2/3/2024,TRX022441,Guest,217088,Bandung
11/5/2024,TRX022442,Guest,1010978,Semarang
2/23/2023,TRX022443,Guest,1038643,Jakarta
3/2/2024,TRX022444,Guest,87783,Semarang
10/24/2024,TRX022445,"Ajiono Susanti, M.Pd",454968,Semarang
5/12/2023,TRX022446,Guest,1179616,Bandung
5/22/2023,TRX022447,Tgk. Yani Hasanah,543177,Surabaya
8/28/2024,TRX022448,Guest,1264926,Yogyakarta
1/24/2023,TRX022449,Guest,684787,Jakarta
4/1/2023,TRX022450,Ir. Warsita Maryati,147377,Bandung
4/11/2023,TRX022451,Cakrajiya Zulkarnain,663176,Jakarta
7/18/2023,TRX022452,Zelaya Hutasoit,244710,Surabaya
7/23/2024,TRX022453,Guest,65844,Bandung
1/27/2024,TRX022454,Raisa Megantara,1298605,Surabaya
1/10/2023,TRX022455,Halim Prasasta,318939,Surabaya
10/14/2023,TRX022456,Guest,791563,Bandung
5/8/2024,TRX022457,Galar Rahayu,167584,Jakarta
8/26/2024,TRX022458,Guest,911764,Jakarta
10/11/2023,TRX022459,"Kezia Hidayanto, S.IP",382090,Jakarta
11/12/2024,TRX022460,Guest,562549,Yogyakarta
4/2/2024,TRX022461,Guest,953448,Bandung
3/23/2023,TRX022462,Guest,1069342,Semarang
8/14/2024,TRX022463,Ani Lailasari,318918,Jakarta
9/22/2024,TRX022464,Guest,16446,Bandung
1/16/2023,TRX022465,"Dipa Fujiati, M.Kom.",125076,Surabaya
8/8/2023,TRX022466,"Ir. Harto Hutasoit, S.Psi",187080,Surabaya
6/5/2024,TRX022467,Padmi Hidayanto,200487,Yogyakarta
1/18/2023,TRX022468,R.M. Prasetyo Wibowo,376884,Yogyakarta
8/1/2023,TRX022469,Guest,1240250,Surabaya
12/4/2023,TRX022470,Guest,1102381,Yogyakarta
5/5/2023,TRX022471,Guest,850517,Yogyakarta
9/20/2023,TRX022472,Drs. Wirda Namaga,178708,Surabaya
6/17/2024,TRX022473,Guest,327666,Jakarta
8/23/2024,TRX022474,Guest,717838,Semarang
11/27/2023,TRX022475,Guest,455081,Jakarta
9/9/2023,TRX022476,Guest,212768,Surabaya
7/27/2024,TRX022477,Raden Rajasa,37731,Semarang
6/22/2023,TRX022478,Guest,40055,Semarang
8/6/2024,TRX022479,"Dt. Sakti Kuswoyo, M.Ak",464472,Bandung
10/24/2023,TRX022480,Guest,994497,Semarang
11/12/2023,TRX022481,Gandewa Firmansyah,310876,Surabaya
3/17/2023,TRX022482,Guest,320761,Jakarta
8/26/2024,TRX022483,Guest,1025142,Surabaya
12/29/2024,TRX022484,Tira Tamba,377486,Surabaya
5/5/2023,TRX022485,Guest,259038,Surabaya
9/23/2023,TRX022486,Guest,812064,Jakarta
4/15/2024,TRX022487,Guest,529259,Surabaya
7/30/2024,TRX022488,Guest,33313,Semarang
2/18/2023,TRX022489,Guest,859257,Jakarta
1/6/2024,TRX022490,Ir. Almira Oktaviani,906998,Semarang
8/27/2023,TRX022491,Estiawan Saragih,687853,Surabaya
11/12/2023,TRX022492,Guest,1062577,Yogyakarta
3/27/2024,TRX022493,Guest,133134,Yogyakarta
5/12/2023,TRX022494,KH. Among Tamba,110489,Yogyakarta
7/28/2024,TRX022495,Guest,863507,Yogyakarta
9/3/2023,TRX022496,Guest,342150,Bandung
8/25/2024,TRX022497,Drs. Caturangga Firgantoro,266548,Bandung
1/3/2024,TRX022498,Hasna Samosir,1251146,Surabaya
4/6/2023,TRX022499,Guest,242038,Semarang
2/23/2024,TRX022500,Dasa Putra,1005366,Semarang
4/30/2024,TRX022501,Humaira Fujiati,405832,Bandung
8/9/2023,TRX022502,drg. Jasmin Uyainah,452989,Bandung
10/16/2024,TRX022503,Dr. Indah Nainggolan,305058,Surabaya
2/27/2023,TRX022504,Rahman Salahudin,480963,Surabaya
7/31/2024,TRX022505,"Baktianto Prasetyo, S.I.Kom",102609,Jakarta
12/6/2023,TRX022506,Rusman Jailani,51327,Bandung
8/15/2023,TRX022507,"drg. Yance Lestari, S.I.Kom",191235,Bandung
5/10/2023,TRX022508,Guest,557688,Bandung
11/4/2024,TRX022509,Guest,827542,Bandung
2/8/2024,TRX022510,R. Shania Prastuti,975295,Semarang
5/20/2024,TRX022511,"drg. Kartika Uwais, S.I.Kom",680094,Surabaya
1/9/2023,TRX022512,"Tgk. Bakianto Mangunsong, S.Ked",868491,Jakarta
7/23/2024,TRX022513,Tina Thamrin,146432,Semarang
9/19/2023,TRX022514,Karen Budiman,579104,Bandung
6/6/2024,TRX022515,"Estiawan Oktaviani, S.H.",1012074,Jakarta
6/13/2024,TRX022516,Kunthara Irawan,1673237,Jakarta
2/18/2024,TRX022517,Guest,381174,Yogyakarta
10/3/2024,TRX022518,Guest,209308,Yogyakarta
6/25/2024,TRX022519,"Ir. Titi Tamba, S.E.I",24668,Surabaya
2/28/2024,TRX022520,Guest,1007714,Jakarta
12/6/2023,TRX022521,Guest,140307,Yogyakarta
1/25/2024,TRX022522,Guest,537486,Jakarta
12/6/2024,TRX022523,Guest,579363,Bandung
11/7/2024,TRX022524,Guest,595787,Jakarta
6/2/2023,TRX022525,Guest,83384,Yogyakarta
8/30/2024,TRX022526,Guest,558347,Surabaya
6/20/2023,TRX022527,Guest,612637,Yogyakarta
1/12/2024,TRX022528,Gasti Pradana,461967,Bandung
11/10/2024,TRX022529,Guest,371341,Surabaya
11/9/2024,TRX022530,"Kawaya Dongoran, S.Pt",413750,Semarang
7/1/2024,TRX022531,Guest,69308,Surabaya
11/10/2024,TRX022532,Guest,1280505,Bandung
7/10/2023,TRX022533,Guest,71109,Jakarta
6/12/2023,TRX022534,Aurora Prayoga,206062,Semarang
6/22/2024,TRX022535,Guest,782342,Semarang
6/18/2023,TRX022536,Guest,938250,Semarang
7/3/2024,TRX022537,Julia Riyanti,215958,Surabaya
1/2/2023,TRX022538,Guest,74631,Yogyakarta
4/24/2023,TRX022539,Guest,714005,Semarang
6/23/2024,TRX022540,T. Ozy Mandala,319375,Semarang
8/12/2023,TRX022541,Kani Habibi,280883,Yogyakarta
6/7/2023,TRX022542,Guest,695932,Jakarta
9/9/2023,TRX022543,"Eli Hidayat, S.Kom",475966,Jakarta
1/18/2024,TRX022544,Guest,207111,Jakarta
8/3/2023,TRX022545,Guest,1004698,Semarang
2/12/2023,TRX022546,"drg. Ilsa Kurniawan, S.Farm",563511,Bandung
3/23/2024,TRX022547,Guest,778986,Jakarta
6/6/2024,TRX022548,Guest,181798,Jakarta
6/10/2024,TRX022549,"R.M. Kamidin Nababan, S.E.I",539552,Yogyakarta
12/18/2023,TRX022550,Nalar Saptono,761386,Jakarta
3/13/2024,TRX022551,Fathonah Hakim,621264,Surabaya
7/2/2024,TRX022552,Pranata Haryanti,243667,Jakarta
11/2/2023,TRX022553,"Irwan Mulyani, M.Kom.",272314,Jakarta
11/28/2024,TRX022554,Nyoman Hakim,698267,Semarang
3/8/2024,TRX022555,Guest,978374,Jakarta
5/11/2024,TRX022556,Dariati Sudiati,275627,Bandung
2/24/2024,TRX022557,Hamima Kurniawan,401616,Yogyakarta
10/16/2024,TRX022558,Guest,1517665,Surabaya
5/22/2024,TRX022559,Makuta Pudjiastuti,361344,Bandung
5/29/2024,TRX022560,Zelaya Gunarto,1501783,Yogyakarta
1/19/2023,TRX022561,Guest,66000,Yogyakarta
9/17/2024,TRX022562,Guest,870151,Surabaya
2/13/2024,TRX022563,"dr. Luis Prabowo, S.T.",849133,Bandung
10/13/2023,TRX022564,Guest,1489044,Surabaya
11/28/2023,TRX022565,R.A. Wulan Aryani,85917,Surabaya
7/18/2024,TRX022566,Guest,885072,Bandung
8/13/2023,TRX022567,Guest,540630,Jakarta
5/6/2024,TRX022568,drg. Cahyono Melani,1152061,Semarang
10/3/2023,TRX022569,Guest,963237,Jakarta
10/15/2023,TRX022570,Guest,1433298,Yogyakarta
8/11/2024,TRX022571,Guest,506124,Semarang
11/30/2023,TRX022572,Pranata Najmudin,170004,Jakarta
8/11/2024,TRX022573,"H. Najam Budiyanto, M.M.",116398,Bandung
5/1/2024,TRX022574,Guest,844240,Semarang
12/9/2023,TRX022575,Guest,372282,Bandung
5/31/2023,TRX022576,Shakila Wulandari,31570,Surabaya
3/23/2023,TRX022577,"Jabal Mandasari, S.Kom",673327,Surabaya
8/25/2023,TRX022578,Guest,772233,Surabaya
1/1/2024,TRX022579,Guest,1039575,Jakarta
10/13/2024,TRX022580,"Uchita Wastuti, S.Ked",919578,Jakarta
7/25/2023,TRX022581,Almira Widiastuti,392460,Bandung
3/25/2023,TRX022582,Guest,1327381,Bandung
5/4/2024,TRX022583,Guest,580260,Bandung
11/27/2023,TRX022584,Guest,139388,Yogyakarta
12/19/2023,TRX022585,"Puji Hidayanto, S.E.",227039,Yogyakarta
12/1/2024,TRX022586,Guest,262563,Bandung
12/27/2024,TRX022587,"Empluk Lazuardi, M.Farm",602358,Surabaya
12/4/2023,TRX022588,Putri Nugroho,1080211,Yogyakarta
9/6/2024,TRX022589,"Bakda Sihombing, S.I.Kom",1068717,Semarang
10/5/2024,TRX022590,Guest,911739,Yogyakarta
6/12/2023,TRX022591,Zamira Iswahyudi,526321,Semarang
5/30/2024,TRX022592,"Daniswara Natsir, S.T.",169830,Jakarta
12/17/2024,TRX022593,Guest,544899,Surabaya
9/29/2024,TRX022594,Guest,286926,Semarang
5/15/2024,TRX022595,Capa Anggraini,1098267,Yogyakarta
10/9/2023,TRX022596,Gaduh Kusumo,835892,Semarang
7/4/2024,TRX022597,Guest,1196372,Semarang
12/26/2024,TRX022598,Guest,527432,Semarang
4/13/2024,TRX022599,Guest,368738,Bandung
10/11/2023,TRX022600,Umi Lestari,256016,Yogyakarta
3/31/2023,TRX022601,Nrima Simbolon,342783,Surabaya
12/3/2024,TRX022602,Guest,658937,Semarang
3/7/2023,TRX022603,drg. Ayu Hasanah,278777,Bandung
12/23/2024,TRX022604,Guest,921319,Jakarta
10/13/2024,TRX022605,Juli Kuswoyo,76489,Yogyakarta
10/26/2023,TRX022606,Guest,818734,Semarang
6/23/2024,TRX022607,Guest,575616,Bandung
1/31/2024,TRX022608,Guest,527115,Jakarta
12/1/2024,TRX022609,Guest,33180,Jakarta
6/10/2023,TRX022610,Guest,483428,Surabaya
3/14/2024,TRX022611,"Ifa Wijayanti, S.H.",817416,Jakarta
3/30/2024,TRX022612,"Baktianto Riyanti, S.Pt",45311,Surabaya
11/27/2023,TRX022613,Guest,885288,Yogyakarta
5/4/2023,TRX022614,Viman Anggriawan,337531,Jakarta
10/29/2024,TRX022615,Guest,900877,Bandung
5/1/2023,TRX022616,Guest,272697,Jakarta
9/23/2024,TRX022617,Pia Purwanti,358814,Surabaya
9/25/2024,TRX022618,Guest,293613,Semarang
5/19/2024,TRX022619,Guest,362412,Jakarta
3/10/2024,TRX022620,"Ade Yolanda, S.IP",176294,Surabaya
9/21/2023,TRX022621,Asmianto Narpati,1144509,Surabaya
12/9/2023,TRX022622,Guest,1112413,Yogyakarta
